sub,POA,token,syll_dur,v_dur,Av,Ahi,max23,Av.Ahi,Av.max23
1,2,23,0.1493,0.1187,28.6,5.5,12.1,23.1,16.5
2,1,12,0.3247,0.2003,23.9,-7,7.4,30.9,16.5
3,3,7,0.4759,0.3887,22.6,8.9,6.1,13.7,16.5
3,3,18,0.2782,0.2079,18,-0.9,1.5,18.9,16.5
6,2,105,0.2729,0.1918,30.9,-3.6,14.4,34.5,16.5
6,3,226,0.136,0.0692,28.6,-8,12.1,36.6,16.5
2,3,88,0.1446,0.0964,6,-33.5,-10.6,39.5,16.6
3,3,13,0.3177,0.2195,23,7.1,6.4,15.9,16.6
5,3,230,0.0869,0.567,41,6.8,24.4,34.2,16.6
2,2,76,0.1821,0.1577,5.2,-16.8,-11.5,22,16.7
3,3,30,0.2877,0.1862,19.4,-1.4,2.7,20.8,16.7
6,3,221,0.2946,0.1919,28.5,-6,11.8,34.5,16.7
3,3,27,0.3226,0.2347,20.4,-2.1,3.6,22.5,16.8
1,3,37,0.1498,0.1032,28.3,-4.7,11.4,33,16.9
1,3,36,0.1483,0.1093,29.6,-2,12.7,31.6,16.9
1,3,60,0.1052,0.0787,32.7,7.8,15.8,24.9,16.9
3,3,49,0.2963,0.2052,18.8,-3.4,1.9,22.2,16.9
2,1,18,0.3284,0.2482,15.1,-20.4,-1.9,35.5,17
3,3,50,0.268,0.1899,15.9,-6,-1.1,21.9,17
6,3,246,0.132,0.0635,26.2,-10.7,9.2,36.9,17
2,2,4,0.5451,0.42,17,-16.9,-0.01,33.9,17.01
1,3,12,0.1864,0.1553,30.4,-2.8,13.3,33.2,17.1
1,2,16,0.3679,0.2532,24.9,-4.1,7.8,29,17.1
1,2,25,0.1791,0.1305,29.4,15,12.3,14.4,17.1
2,3,7,0.4774,0.3558,18.9,-13.2,1.8,32.1,17.1
2,1,15,0.3046,0.2165,19.4,-5.8,2.3,25.2,17.1
3,3,3,0.4449,0.3499,19.4,0.9,2.3,18.5,17.1
2,3,11,0.4882,0.3526,13.4,-14.4,-3.7,27.8,17.1
5,2,176,0.0693,0.0497,40.1,21.8,23,18.3,17.1
5,3,208,0.205,0.1648,28.6,9.3,11.5,19.3,17.1
1,3,65,0.099,0.0731,31.2,-0.9,14,32.1,17.2
2,3,14,0.4817,0.3423,10.2,-18.1,-7.1,28.3,17.3
3,3,33,0.2684,0.1934,17.5,0.3,0.2,17.2,17.3
6,2,118,0.2082,0.126,31.1,-1.8,13.8,32.9,17.3
1,1,3,0.3939,0.3114,28.9,4.5,11.5,24.4,17.4
3,2,65,0.2861,0.2456,17.5,-0.3,0.1,17.8,17.4
1,1,13,0.2746,0.1862,27,-1.5,9.5,28.5,17.5
2,3,81,0.139,0.0859,7.8,-27.4,-9.7,35.2,17.5
2,3,83,0.1566,0.0977,6,-25.1,-11.5,31.1,17.5
2,2,25,0.3832,0.2611,12.8,-21.8,-4.7,34.6,17.5
5,2,137,0.1303,0.0966,14,5.8,-3.5,8.2,17.5
5,3,204,0.2139,0.1726,32.6,10.6,15.1,22,17.5
6,2,139,0.1689,0.086,27.4,-6,9.8,33.4,17.6
1,3,71,0.1039,0.0675,30.3,5.6,12.7,24.7,17.6
