sub,POA,token,syll_dur,v_dur,Av,Ahi,max23,Av.Ahi,Av.max23
6,3,206,0.3427,0.2512,34.2,-3.2,12.5,37.4,21.7
1,3,41,0.1633,0.1053,27.4,-9.6,5.6,37,21.8
2,3,70,0.1151,0.0934,17.9,-17.3,-3.9,35.2,21.8
5,2,192,0.034,0.042,33.4,19,11.6,14.4,21.8
5,3,231,0.0792,0.0617,39.3,0.9,17.5,38.4,21.8
6,2,158,0.1129,0.067,26.2,-9.5,4.4,35.7,21.8
2,3,36,0.1606,0.091,21.2,-20.3,-0.6,41.5,21.8
2,2,77,0.169,0.0906,11.5,-19,-10.3,30.5,21.8
3,2,60,0.3078,0.2245,26.8,-6.6,5,33.4,21.8
6,3,203,0.0321,0.2317,33,2.2,11.2,30.8,21.8
1,2,36,0.1354,0.1102,30.4,4.7,8.5,25.7,21.9
1,1,71,0.0724,0.0538,29.7,0.7,7.8,29,21.9
3,1,42,0.202,0.1535,24.2,-14.4,2.3,38.6,21.9
2,2,14,0.3167,0.2071,21.1,-10.1,-0.8,31.2,21.9
5,2,153,0.0728,0.0527,33.1,18,11.2,15.1,21.9
2,2,12,0.3369,0.1732,23.9,-2.8,1.9,26.7,22
2,2,55,0.1591,0.1179,21.3,-2.4,-0.7,23.7,22
5,3,265,0.0909,0.0626,40.4,2.2,18.4,38.2,22
1,3,7,0.4649,0.359,30.6,-4.8,8.5,35.4,22.1
2,3,33,0.2045,0.098,27.8,-2.8,5.7,30.6,22.1
2,2,8,0.533,0.4343,17.2,-17.9,-4.9,35.1,22.1
2,2,65,0.1483,0.0847,11,-26.4,-11.1,37.4,22.1
3,1,89,0.1254,0.1029,17.5,-4.6,-4.6,22.1,22.1
3,1,91,0.1714,0.101,21.8,-2.7,-0.3,24.5,22.1
3,2,28,0.2986,0.1956,21.5,-2.7,-0.6,24.2,22.1
1,1,12,0.2592,0.1758,30,-3.7,7.8,33.7,22.2
2,1,17,0.2785,0.1985,14.9,-8.7,-7.3,23.6,22.2
3,2,17,0.3105,0.2247,25.3,0.2,3.1,25.1,22.2
6,3,232,0.12,0.071,26.4,-9.2,4.2,35.6,22.2
6,3,236,0.1312,0.0652,27,-9.8,4.8,36.8,22.2
1,3,75,0.1193,0.0659,29.8,-5.1,7.6,34.9,22.2
1,2,32,0.1527,0.1131,28.1,11.2,5.9,16.9,22.2
2,3,79,0.1561,0.1064,8.9,-26.4,-13.3,35.3,22.2
1,1,4,0.374,0.3017,29.9,-1.8,7.6,31.7,22.3
2,3,26,0.3507,0.2597,17.2,-23.5,-5.1,40.7,22.3
1,2,3,0.4521,0.3675,30.8,-0.2,8.5,31,22.3
2,2,18,0.325,0.232,15.3,-24.3,-7.1,39.6,22.4
2,2,24,0.3373,0.2437,15.6,-16.4,-6.8,32,22.4
5,1,87,0.0915,0.0519,36.3,16.1,13.9,20.2,22.4
6,3,249,0.114,0.0627,28.2,-3.5,5.8,31.7,22.4
6,3,274,0.0863,0.048,25.4,-15.8,3,41.2,22.4
1,2,24,0.1473,0.1187,32.1,8.6,9.7,23.5,22.4
2,3,2,0.5349,0.3581,23.6,0.04,1.2,23.56,22.4
6,3,220,0.2267,0.15,33.2,-11.7,10.8,44.9,22.4
2,2,50,0.1581,0.14,9.8,-20.3,-12.7,30.1,22.5
3,2,16,0.3232,0.2327,24.1,2,1.6,22.1,22.5
5,2,110,0.2263,0.1552,33.5,8.8,11,24.7,22.5
6,3,234,0.1047,0.0556,30.3,-1.7,7.8,32,22.5
1,3,59,0.0847,0.0569,29.9,-5.8,7.3,35.7,22.6
2,2,59,0.1862,0.1168,23.2,-20.7,0.6,43.9,22.6
5,2,196,0.0616,0.042,35.8,18.1,13.2,17.7,22.6
6,1,5,0.3376,0.2576,34.9,4.8,12.3,30.1,22.6
1,2,33,0.1404,0.1084,28.1,3.6,5.5,24.5,22.6
2,2,16,0.3489,0.2537,16.7,-17.8,-5.9,34.5,22.6
2,2,62,0.1989,0.0973,17.8,-20.9,-4.8,38.7,22.6
6,2,106,0.2673,0.2101,32.8,-7.5,10.1,40.3,22.7
1,2,11,0.3425,0.283,30.2,1.8,7.5,28.4,22.7
2,3,59,0.2418,0.1783,11.1,-29,-11.6,40.1,22.7
2,3,60,0.1228,0.0667,24,-8.6,1.3,32.6,22.7
6,3,201,0.3272,0.2363,35,3.2,12.3,31.8,22.7
6,2,120,0.1821,0.1149,30.3,-9.3,7.6,39.6,22.7
6,3,217,0.2372,0.1674,34.7,-4.9,12,39.6,22.7
1,1,18,0.2698,0.185,29.3,-0.9,6.5,30.2,22.8
2,3,35,0.1744,0.1152,23.3,-17.9,0.5,41.2,22.8
2,2,5,0.5601,0.4422,19.5,-9.1,-3.3,28.6,22.8
5,2,154,0.0776,0.0598,35.1,12.2,12.3,22.9,22.8
5,2,156,0.0746,0.0551,35,9.3,12.2,25.7,22.8
6,2,122,0.1936,0.1132,28.3,-6.9,5.5,35.2,22.8
5,1,2,0.2257,0.1577,34.2,10.8,11.4,23.4,22.8
1,2,28,0.1566,0.1097,28.7,13,5.8,15.7,22.9
3,1,51,0.2195,0.1652,26.9,-12.3,4,39.2,22.9
5,3,206,0.2031,0.1569,29.5,7.5,6.6,22,22.9
6,3,258,0.0832,0.0502,28.1,-14,5.2,42.1,22.9
6,3,264,0.0972,0.0692,28.1,-11.3,5.2,39.4,22.9
3,2,31,0.294,0.2053,22.9,-2.9,-0.09,25.8,22.99
1,3,80,0.1627,0.1229,27,-15.2,4,42.2,23
1,2,67,0.1035,0.0661,31.8,9.6,8.8,22.2,23
1,1,46,0.0773,0.0612,26.2,-7.7,3.2,33.9,23
2,3,86,0.1369,0.0909,7.6,-28.1,-15.4,35.7,23
5,1,89,0.0683,0.0454,44.5,15.8,21.5,28.7,23
5,2,109,0.2275,0.16,33.4,5.5,10.4,27.9,23
6,2,107,0.2856,0.2031,32,3.1,9,28.9,23
5,2,184,0.0788,0.0497,38.7,15.3,15.7,23.4,23
1,1,17,0.2829,0.2002,28.4,2.2,5.3,26.2,23.1
2,2,23,0.3594,0.2265,18.3,-13.8,-4.8,32.1,23.1
3,2,20,0.2881,0.2136,26.5,-0.8,3.4,27.3,23.1
2,2,11,0.5377,0.4311,18.5,-10.5,-4.7,29,23.2
2,2,72,0.2141,0.0843,11.6,-15.3,-11.6,26.9,23.2
3,1,4,0.4001,0.2997,30.4,4.9,7.2,25.5,23.2
3,2,27,0.3292,0.2327,22.5,-1.7,-0.7,24.2,23.2
1,1,40,0.0779,0.0414,35.1,3.9,11.9,31.2,23.2
5,2,175,0.0746,0.0474,40.1,23,16.9,17.1,23.2
6,3,211,0.2772,0.2128,30.1,-2.6,6.9,32.7,23.2
3,3,44,0.2993,0.2357,17.4,-6.9,-5.9,24.3,23.3
6,3,202,0.3215,0.2454,33.3,-1,10,34.3,23.3
6,3,225,0.1219,0.0703,31.7,-4.8,8.4,36.5,23.3
1,3,50,0.0966,0.0547,29,1.7,5.7,27.3,23.3
1,3,68,0.095,0.0681,29.8,-4.9,6.5,34.7,23.3
3,2,19,0.2576,0.1953,24.5,-0.3,1.2,24.8,23.3
3,2,53,0.2943,0.2216,27.1,-9.8,3.8,36.9,23.3
6,3,240,0.118,0.0717,28.1,-7.2,4.8,35.3,23.3
1,1,2,0.4809,0.3313,29.5,3.5,6.1,26,23.4
3,2,78,0.155,0.1287,30.2,10.1,6.8,20.1,23.4
6,3,245,0.1282,0.0783,29,-10.7,5.6,39.7,23.4
1,2,9,0.3766,0.2594,34.1,-1.1,10.7,35.2,23.4
5,1,90,0.0744,0.0506,41.7,13.2,18.3,28.5,23.4
5,3,241,0.0826,0.0692,34.6,-2.3,11.2,36.9,23.4
1,3,46,0.1092,0.0847,35.4,0.6,11.9,34.8,23.5
1,2,15,0.3539,0.2849,34.6,-2.6,11.1,37.2,23.5
1,2,31,0.1527,0.1152,27.1,-0.2,3.6,27.3,23.5
3,1,3,0.3707,0.2791,30.6,7.1,7.1,23.5,23.5
3,1,11,0.3754,0.3004,30.4,1.1,6.9,29.3,23.5
5,2,188,0.0758,0.0527,36.1,18.5,12.6,17.6,23.5
6,2,108,0.292,0.2207,30.7,3.8,7.2,26.9,23.5
6,3,244,0.1282,0.0467,28.9,-4.6,5.4,33.5,23.5
3,3,28,0.3073,0.2136,20.7,1,-2.9,19.7,23.6
1,2,20,0.1412,0.1108,34.2,9.4,10.6,24.8,23.6
3,3,12,0.4131,0.3377,27,1,3.4,26,23.6
5,3,223,0.1344,0.0951,30.7,0.7,7.1,30,23.6
1,2,34,0.137,0.0999,28.2,4.2,4.5,24,23.7
3,1,18,0.2526,0.199,25.4,-1.1,1.7,26.5,23.7
3,2,34,0.2131,0.1726,25.5,1.4,1.8,24.1,23.7
6,2,124,0.1838,0.1084,28,-6.3,4.3,34.3,23.7
6,3,256,0.081,0.0517,28.9,-14.7,5.2,43.6,23.7
1,3,4,0.4577,0.3579,34.4,-0.9,10.6,35.3,23.8
3,2,26,0.3113,0.2205,24.9,-2.1,1.1,27,23.8
3,2,33,0.2383,0.1746,25.9,-0.4,2.1,26.3,23.8
1,2,45,0.0889,0.0667,34.5,18.4,10.7,16.1,23.8
3,1,15,0.2329,0.1882,29,-5.2,5.2,34.2,23.8
6,3,213,0.2487,0.1835,32.7,-8.9,8.9,41.6,23.8
1,2,60,0.1114,0.0742,33.4,10.9,9.5,22.5,23.9
3,1,35,0.1753,0.1119,30.9,2.8,7,28.1,23.9
3,2,90,0.1834,0.1991,20.2,-3.7,-3.7,23.9,23.9
3,3,8,0.492,0.3889,24.7,7.8,0.8,16.9,23.9
5,2,143,0.1463,0.1226,33.4,11.2,9.5,22.2,23.9
5,2,143,0.1463,0.1226,33.4,11.2,9.5,22.2,23.9
6,2,150,0.1181,0.0627,26.2,-13.4,2.3,39.6,23.9
2,3,21,0.3246,0.2532,18.1,-23.3,-5.8,41.4,23.9
2,3,63,0.1136,0.0788,19.2,-20.2,-4.8,39.4,24
2,2,63,0.1573,0.0926,16.5,-22.8,-7.5,39.3,24
2,1,26,0.3041,0.228,13.9,-22.7,-10.1,36.6,24
6,2,136,0.149,0.0938,28.3,-11,4.3,39.3,24
1,3,25,0.1484,0.1118,33.3,-4.3,9.2,37.6,24.1
6,2,168,0.0829,0.0466,31.9,3.9,7.8,28,24.1
1,1,31,0.1377,0.0947,26.5,-7.3,2.4,33.8,24.1
1,1,37,0.1554,0.1214,28.1,-8.3,4,36.4,24.1
2,3,17,0.2993,0.2206,19.6,-13,-4.5,32.6,24.1
2,1,51,0.1859,0.1255,8.6,-28.1,-15.5,36.7,24.1
5,2,171,0.0705,0.0521,30.2,13.1,6.1,17.1,24.1
5,3,262,0.056,0.04,31,-6.1,6.9,37.1,24.1
6,2,143,0.1002,0.051,26.5,-12.5,2.4,39,24.1
1,3,64,0.081,0.0544,27.5,-2.3,3.3,29.8,24.2
2,3,68,0.1437,0.0905,14.5,-21,-9.7,35.5,24.2
2,1,49,0.1563,0.1127,8.2,-20.7,-16,28.9,24.2
3,1,60,0.2267,0.163,24.5,-5,0.3,29.5,24.2
3,3,24,0.3116,0.2125,21.9,-1.4,-2.3,23.3,24.2
5,1,88,0.0866,0.0499,46.5,17,22.3,29.5,24.2
1,3,32,0.1671,0.1266,30.1,-10.9,5.8,41,24.3
1,3,35,0.1753,0.1192,29.3,-12.1,5,41.4,24.3
1,2,48,0.0913,0.0744,34.6,10.7,10.3,23.9,24.3
3,1,29,0.2298,0.1487,27.3,2.9,3,24.4,24.3
3,2,24,0.2849,0.2082,24.1,-2.8,-0.2,26.9,24.3
3,2,92,0.2135,0.1257,20,-3.8,-4.3,23.8,24.3
1,2,74,0.1058,0.079,34.5,9.3,10.1,25.2,24.4
1,1,14,0.2674,0.1781,30.2,0.5,5.8,29.7,24.4
1,1,30,0.142,0.1213,27.9,-6.9,3.5,34.8,24.4
3,2,7,0.4606,0.3599,27.2,2.2,2.8,25,24.4
5,3,210,0.1766,0.1286,30.7,4.6,6.3,26.1,24.4
6,2,153,0.113,0.0525,22.2,-10.7,-2.2,32.9,24.4
1,3,39,0.1405,0.1076,28.3,-12.7,3.9,41,24.4
2,3,65,0.1122,0.0805,15.2,-25.3,-9.3,40.5,24.5
6,3,210,0.2668,0.1834,37.2,0.6,12.7,36.6,24.5
3,2,85,0.1898,0.1423,19.3,5.3,-5.3,14,24.6
3,2,113,0.1858,0.1102,20.3,-6.3,-4.3,26.6,24.6
3,3,5,0.4466,0.3424,23.6,5,-1,18.6,24.6
6,1,7,0.3326,0.2628,37,0.4,12.4,36.6,24.6
6,1,21,0.1959,0.1371,36.2,-10.2,11.6,46.4,24.6
3,2,49,0.2977,0.2158,27.1,-10.1,2.4,37.2,24.7
3,3,52,0.2927,0.2251,20.6,-2.7,-4.1,23.3,24.7
2,3,62,0.1359,0.1013,20.2,-17.4,-4.6,37.6,24.8
3,1,28,0.2222,0.1539,25.4,-1.8,0.6,27.2,24.8
1,1,1,0.4389,0.2751,34.6,10.1,9.8,24.5,24.8
3,1,5,0.3501,0.2483,29.5,6.1,4.7,23.4,24.8
3,1,30,0.2278,0.146,27.8,7.2,3,20.6,24.8
3,1,64,0.2384,0.1748,22,-9.6,-2.8,31.6,24.8
1,3,27,0.0876,0.0598,29.3,-14.6,4.4,43.9,24.9
1,3,56,0.0873,0.0616,31.3,-3.3,6.4,34.6,24.9
2,1,27,0.2774,0.2578,9.5,-20,-15.4,29.5,24.9
3,3,25,0.2816,0.202,22.9,4.1,-2,18.8,24.9
5,1,1,0.1537,0.1053,35.4,4.6,10.5,30.8,24.9
5,1,16,0.254,0.2312,30.8,2.7,5.9,28.1,24.9
5,1,1,0.1537,0.1053,35.4,4.6,10.5,30.8,24.9
6,2,119,0.1703,0.1116,30,-5.5,5.1,35.5,24.9
6,3,253,0.0804,0.0368,29.9,-4.8,5,34.7,24.9
3,2,69,0.2675,0.2113,24.9,-13.2,-0.08,38.1,24.98
1,1,33,0.1611,0.1119,26.5,-2.6,1.5,29.1,25
1,1,72,0.0753,0.0524,27.3,-8.1,2.3,35.4,25
3,1,46,0.1998,0.1504,25.4,-9,0.4,34.4,25
3,2,94,0.1714,0.1175,23.7,-12.3,-1.3,36,25
5,2,168,0.0794,0.0628,33.9,13.5,8.9,20.4,25
2,3,71,0.0209,0.0074,0.2,-31.8,-24.9,32,25.1
5,2,113,0.2205,0.1789,33.9,5.3,8.8,28.6,25.1
6,3,224,0.1446,0.0848,32.9,-1.3,7.8,34.2,25.1
1,2,17,0.3627,0.2943,29.6,9,4.5,20.6,25.1
1,1,55,0.067,0.0485,28.8,-5.2,3.7,34,25.1
6,3,205,0.3305,0.2457,35.2,-1.2,10.1,36.4,25.1
5,2,159,0.09,0.0693,33.8,11.2,8.6,22.6,25.2
5,2,162,0.0829,0.0568,32,7.4,6.8,24.6,25.2
5,3,269,0.1068,0.0684,36,4.3,10.8,31.7,25.2
3,2,67,0.3035,0.2318,25.2,-8.1,-0.05,33.3,25.25
2,1,24,0.3135,0.2427,16.7,-23.5,-8.6,40.2,25.3
5,2,164,0.0865,0.616,32.9,8.5,7.6,24.4,25.3
1,2,52,0.0877,0.0648,31.5,14.4,6.2,17.1,25.3
1,1,50,0.0736,0.0533,21.5,-5.4,-3.8,26.9,25.3
3,2,3,0.4575,0.3435,28.7,3.7,3.4,25,25.3
3,2,23,0.321,0.2354,25.6,3.7,0.3,21.9,25.3
5,2,191,0.0705,0.045,37.5,20,12.2,17.5,25.3
6,2,117,0.235,0.134,34.5,-3.1,9.2,37.6,25.3
1,2,27,0.1563,0.1244,29.5,9.3,4.1,20.2,25.4
2,1,41,0.1648,0.1126,14.2,-25.1,-11.2,39.3,25.4
6,2,155,0.1151,0.0762,28.2,-7.3,2.8,35.5,25.4
1,2,50,0.1348,0.0986,32.6,20.6,7.2,12,25.4
1,1,63,0.0662,0.0498,25.8,-4.7,0.4,30.5,25.4
3,1,6,0.3696,0.2765,28.8,9.2,3.4,19.6,25.4
6,1,6,0.3126,0.2537,36.1,2.6,10.7,33.5,25.4
1,3,33,0.1552,0.1239,31.8,-11.2,6.3,43,25.5
1,2,73,0.0862,0.0551,30.2,12.2,4.7,18,25.5
1,1,28,0.1494,0.1273,30,-4.1,4.5,34.1,25.5
3,1,88,0.1323,0.1098,19.4,-22.2,-6.1,41.6,25.5
2,3,15,0.2903,0.1715,29.9,-7.4,4.3,37.3,25.6
3,2,18,0.2859,0.2141,26.4,-0.2,0.8,26.6,25.6
3,3,26,0.3175,0.2334,25.7,-1.7,0.04,27.4,25.66
1,1,22,0.1619,0.0926,32.8,-1.8,7.1,34.6,25.7
1,3,23,0.2387,0.2,31,-3,5.3,34,25.7
3,2,46,0.2912,0.2139,26.9,-9.5,1.2,36.4,25.7
3,2,61,0.3175,0.2241,21,-12,-4.7,33,25.7
1,2,63,0.1357,0.0861,34.7,11.2,9,23.5,25.7
3,2,40,0.2839,0.2012,27.4,-1.4,1.6,28.8,25.8
5,2,142,0.0983,0.0717,30.9,8.7,5.1,22.2,25.8
5,2,177,0.0669,0.0444,41.8,24.1,16,17.7,25.8
1,2,12,0.357,0.297,30.3,7.8,4.5,22.5,25.8
1,1,74,0.0725,0.0522,31.1,-4.2,5.3,35.3,25.8
3,1,7,0.3429,0.2509,31.1,10.1,5.3,21,25.8
3,1,9,0.3734,0.2884,32,3.3,6.2,28.7,25.8
3,2,37,0.2908,0.1994,21.6,7,-4.2,14.6,25.8
5,2,120,0.1321,0.0877,28.1,-6.1,2.3,34.2,25.8
6,1,4,0.3354,0.2803,35.1,3.3,9.3,31.8,25.8
6,3,219,0.2505,0.1649,34.8,-6.9,8.9,41.7,25.9
3,2,10,0.3859,0.2915,26.3,-0.8,0.4,27.1,25.9
6,2,146,0.1081,0.0613,24.3,-8.6,-1.6,32.9,25.9
6,1,27,0.2682,0.2025,33.8,-1.7,7.8,35.5,26
2,1,45,0.2099,0.1534,16.9,-25.2,-9.1,42.1,26
3,2,83,0.1696,0.1416,24.1,4.2,-1.9,19.9,26
3,2,88,0.1739,0.1245,24.6,-12,-1.4,36.6,26
6,3,233,0.1267,0.0752,26.7,-9.8,0.7,36.5,26
3,1,47,0.2576,0.1905,24.9,-7.2,-1.2,32.1,26.1
5,1,47,0.0875,0.0743,26.9,-13.1,0.8,40,26.1
6,1,3,0.3355,0.2607,37.3,6.8,11.2,30.5,26.1
1,2,53,0.0907,0.0636,34.6,13.1,8.5,21.5,26.1
2,2,15,0.3453,0.2267,19,-16.9,-7.1,35.9,26.1
3,2,103,0.2389,0.1385,22.6,-10.5,-3.5,33.1,26.1
1,3,17,0.1876,0.1515,31,-8.6,4.8,39.6,26.2
1,2,78,0.1025,0.0742,31.7,14.2,5.5,17.5,26.2
1,1,34,0.1432,0.1226,28.3,-6.6,2.1,34.9,26.2
3,1,96,0.1115,0.0561,22.4,-2.7,-3.8,25.1,26.2
3,2,109,0.2157,0.1525,24.5,-5.4,-1.7,29.9,26.2
2,3,13,0.4768,0.3568,19.3,-22.1,-6.9,41.4,26.2
2,2,9,0.5074,0.4122,19.8,-16.9,-6.4,36.7,26.2
3,2,5,0.4674,0.3646,27.4,3.9,1.1,23.5,26.3
3,2,115,0.2224,0.1485,19.4,-13.2,-6.9,32.6,26.3
1,3,20,0.1897,0.1556,31.5,-4.6,5.2,36.1,26.3
1,2,42,0.1095,0.062,31,10.8,4.7,20.2,26.3
3,2,101,0.2132,0.1558,25,-12.3,-1.3,37.3,26.3
5,2,169,0.0728,0.052,30.6,12.6,4.3,18,26.3
5,2,128,0.1268,0.0966,33.2,-2.4,6.9,35.6,26.3
1,2,65,0.1088,0.0767,30.9,7,4.5,23.9,26.4
3,1,55,0.2613,0.1959,25.4,-15,-1,40.4,26.4
6,2,140,0.1435,0.0908,29.5,-12,3.1,41.5,26.4
1,2,30,0.1367,0.1047,29,4.7,2.5,24.3,26.5
3,2,15,0.3486,0.2517,26.6,-6,0.1,32.6,26.5
5,2,112,0.2204,0.1582,31,4.7,4.5,26.3,26.5
6,1,13,0.2351,0.1775,37,-8.2,10.5,45.2,26.5
5,1,13,0.1924,0.1693,35.2,3.6,8.7,31.6,26.5
3,2,32,0.2544,0.1914,26.5,-1.5,-0.05,28,26.55
1,2,2,0.4606,0.347,29.7,-5.3,3.1,35,26.6
2,3,74,0.1174,0.0772,13.7,-26.4,-12.9,40.1,26.6
3,2,52,0.2869,0.2211,26,-3.3,-0.6,29.3,26.6
3,2,75,0.3033,0.2336,25.5,-15.1,-1.1,40.6,26.6
2,2,29,0.1804,0.0845,26.7,-10.2,0.05,36.9,26.65
1,3,18,0.2006,0.1624,31.2,-8.9,4.5,40.1,26.7
2,1,23,0.2792,0.2255,17.5,-17.1,-9.2,34.6,26.7
6,1,1,0.3272,0.2553,39.5,0.1,12.8,39.4,26.7
1,3,24,0.149,0.0925,35.1,-6.3,8.4,41.4,26.7
2,3,64,0.1303,0.0852,19.8,-21.8,-6.9,41.6,26.7
3,1,32,0.2109,0.1233,25.1,2,-1.6,23.1,26.7
5,2,139,0.1137,0.0877,35.1,-4.9,8.4,40,26.7
5,2,181,0.0811,0.0586,45.4,15.5,18.6,29.9,26.8
1,2,68,0.1207,0.094,31.5,12.6,4.7,18.9,26.8
5,2,165,0.0865,0.064,32.2,15.7,5.4,16.5,26.8
5,2,151,0.0728,0.0462,36.8,12.6,9.9,24.2,26.9
6,2,145,0.1118,0.0689,28,-9,1.1,37,26.9
3,1,33,0.2499,0.1703,26.3,1.4,-0.6,24.9,26.9
5,3,248,0.1101,0.0609,32.2,-6.5,5.3,38.7,26.9
1,2,37,0.1531,0.1182,28.3,4.1,1.3,24.2,27
2,2,17,0.3086,0.2359,17.8,-16,-9.2,33.8,27
2,2,30,0.1293,0.1001,21.9,-7,-5.1,28.9,27
3,2,35,0.3068,0.2202,26.1,5.9,-0.9,20.2,27
5,2,102,0.2394,0.1825,33.5,3.9,6.5,29.6,27
5,3,272,0.053,0.04,24.5,-6.8,-2.5,31.3,27
5,2,106,0.2346,0.1505,35.7,5.8,8.7,29.9,27
1,3,57,0.0981,0.0762,32.3,2.2,5.2,30.1,27.1
3,1,61,0.2704,0.1995,25.7,-1.6,-1.4,27.3,27.1
1,1,29,0.1698,0.1186,28,-8.4,0.9,36.4,27.1
1,1,51,0.0663,0.049,26.5,-6.8,-0.6,33.3,27.1
3,1,8,0.3596,0.2747,30.1,3.4,3,26.7,27.1
3,1,17,0.2496,0.2019,26.6,-2.7,-0.5,29.3,27.1
3,1,62,0.2972,0.212,24.6,-4.7,-2.5,29.3,27.1
3,1,121,0.1541,0.1052,15.2,-10.1,-11.9,25.3,27.1
5,3,199,0.1766,0.1471,36,1,8.9,35,27.1
1,3,28,0.1279,0.0994,31.2,-13.8,4,45,27.2
6,3,229,0.1164,0.0672,30.1,-7.5,2.9,37.6,27.2
6,3,231,0.1152,0.077,31.8,-9.1,4.6,40.9,27.2
1,3,34,0.1672,0.1228,30.4,-10.5,3.1,40.9,27.3
1,3,51,0.1032,0.0767,33.9,-7.2,6.6,41.1,27.3
2,3,51,0.2116,0.1607,9.9,-26.7,-17.4,36.6,27.3
2,1,67,0.0794,0.0459,16.9,-25.1,-10.4,42,27.3
2,1,40,0.1761,0.1196,21.6,-24,-5.7,45.6,27.3
3,2,25,0.2642,0.2105,26.2,-5.1,-1.1,31.3,27.3
3,2,45,0.2695,0.1989,26.2,-4.9,-1.1,31.1,27.3
1,2,57,0.0992,0.0723,32.7,14.3,5.4,18.4,27.3
1,2,71,0.1113,0.0677,32.3,15.7,4.9,16.6,27.4
2,2,13,0.311,0.1909,24.2,-10.6,-3.2,34.8,27.4
6,2,192,0.0723,0.0337,28.4,-11.4,1,39.8,27.4
1,2,55,0.1029,0.0804,35.6,13.5,8.2,22.1,27.4
2,3,16,0.3366,0.2395,24.6,-15.3,-2.8,39.9,27.4
3,1,125,0.1532,0.1122,25.3,-9,-2.1,34.3,27.4
3,1,13,0.2449,0.1866,29.3,4.9,1.8,24.4,27.5
3,1,90,0.1303,0.0909,24.9,-4.4,-2.6,29.3,27.5
3,1,92,0.1193,0.0987,24.6,-9.2,-2.9,33.8,27.5
5,1,38,0.0857,0.0761,32.9,-6.1,5.4,39,27.5
6,1,48,0.141,0.0983,33.5,-0.9,6,34.4,27.5
5,3,211,0.1648,0.1275,36.7,12.1,9.2,24.6,27.5
1,3,2,0.4562,0.3623,35.1,6.3,7.5,28.8,27.6
2,1,39,0.1842,0.1202,18,-22.4,-9.6,40.4,27.6
3,1,25,0.2129,0.1367,26,-1.2,-1.6,27.2,27.6
3,2,54,0.3079,0.224,25.1,-2.9,-2.5,28,27.6
6,2,141,0.22,0.1495,30,-7.6,2.4,37.6,27.6
6,3,243,0.1256,0.0692,31.6,-6.5,4,38.1,27.6
1,2,59,0.1131,0.0819,34.5,13.8,6.8,20.7,27.7
3,1,22,0.232,0.1591,27.4,7.2,-0.3,20.2,27.7
3,2,30,0.324,0.2491,27.4,1.4,-0.3,26,27.7
3,2,50,0.2783,0.1985,27.4,-10.9,-0.3,38.3,27.7
6,3,255,0.0777,0.0522,30.9,-14.2,3.2,45.1,27.7
1,1,69,0.0576,0.0392,29.6,1.2,1.9,28.4,27.7
3,2,80,0.1717,0.1318,22.9,6,-4.9,16.9,27.8
3,2,87,0.2077,0.1393,23.4,3.9,-4.4,19.5,27.8
1,2,80,0.1725,0.1478,33.6,9.6,5.8,24,27.8
2,1,44,0.1846,0.1521,16.6,-25.5,-11.2,42.1,27.8
3,1,16,0.2711,0.2098,26.8,-3.2,-1,30,27.8
3,2,22,0.2695,0.1913,24.1,-4.6,-3.7,28.7,27.8
3,2,47,0.3062,0.2353,27.3,-9.9,-0.5,37.2,27.8
6,3,247,0.1227,0.0717,28.8,-10.4,1,39.2,27.8
3,1,10,0.3656,0.2851,31.9,7.1,4,24.8,27.9
3,2,118,0.2006,0.1338,22.2,-15,-5.7,37.2,27.9
6,2,190,0.0815,0.0484,29.5,-8,1.6,37.5,27.9
6,3,266,0.0919,0.0669,30.3,-13.1,2.4,43.4,27.9
2,2,64,0.1813,0.1291,10.7,-23.2,-17.3,33.9,28
3,1,14,0.2884,0.2191,29.4,0.8,1.4,28.6,28
3,2,77,0.1491,0.0997,29.8,2.7,1.8,27.1,28
3,2,84,0.1838,0.1289,21.2,3.5,-6.8,17.7,28
5,2,155,0.0812,0.0604,36.9,10.1,8.9,26.8,28
6,3,239,0.1243,0.0776,28.4,-18,0.4,46.4,28
1,2,62,0.1028,0.0808,35.2,13.5,7.1,21.7,28.1
1,2,64,0.106,0.072,34,10.6,5.9,23.4,28.1
2,3,76,0.1272,0.0763,14.1,-27.8,-14,41.9,28.1
5,2,130,0.1096,0.0853,37.2,7.7,9.1,29.5,28.1
5,2,166,0.074,0.0598,33.7,7.6,5.6,26.1,28.1
5,2,117,0.1303,0.0817,34.3,-5.3,6.1,39.6,28.2
3,2,12,0.3305,0.2751,25.3,-4.9,-2.9,30.2,28.2
3,2,44,0.2946,0.2008,28.3,-9.5,0.1,37.8,28.2
6,3,269,0.0694,0.0461,32.4,-2.3,4.2,34.7,28.2
5,3,263,0.0575,0.049,32.2,-7.9,4,40.1,28.2
1,3,38,0.1501,0.1152,29.4,-10,1.1,39.4,28.3
2,2,60,0.1436,0.0866,19.9,-22.1,-8.4,42,28.3
6,3,275,0.2001,0.1622,33.3,-1.3,5,34.6,28.3
3,1,34,0.2664,0.1809,29.3,-3.9,1,33.2,28.3
3,2,6,0.4653,0.3616,28.5,6.5,0.2,22,28.3
6,3,268,0.079,0.0613,31.8,-7.5,3.5,39.3,28.3
1,3,42,0.1805,0.1331,28.4,-14,0.05,42.4,28.35
1,1,58,0.0732,0.0577,28.2,-1.6,-0.2,29.8,28.4
