sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
4,3,775,0.0868,0.0584,0.0284,39.7,0.5,27.4,39.2,12.3
10,3,1631,0.107,0.081,0.026,26.4,9.2,14.1,17.2,12.3
2,3,401,0.108,0.082,0.026,39.9,7.2,27.5,32.7,12.4
10,2,1555,0.229,0.186,0.043,27.3,18.7,14.9,8.6,12.4
4,3,766,0.1481,0.1069,0.0412,22.1,3.7,9.6,18.4,12.5
8,3,1318,0.359,0.283,0.076,41.6,17.9,29.1,23.7,12.5
9,3,1448,0.333,0.281,0.052,41,15.7,28.5,25.3,12.5
10,3,1617,0.261,0.187,0.074,28.4,6.8,15.9,21.6,12.5
12,3,101,0.476,0.391,0.085,25.8,0.7,13.3,25.1,12.5
2,3,400,0.108,0.072,0.036,36,6.9,23.4,29.1,12.6
4,2,698,0.0675,0.0515,0.016,32.4,11.2,19.8,21.2,12.6
5,2,944,0.1667,0.0616,0.1051,25,5.1,12.4,19.9,12.6
9,3,1439,0.461,0.405,0.056,40,15.1,27.4,24.9,12.6
2,2,316,0.36,0.249,0.111,24.2,2.3,11.5,21.9,12.7
12,3,128,0.343,0.29,0.053,19.3,-12.1,6.6,31.4,12.7
1,3,231,0.0933,0.0593,0.034,26.9,-1.9,14.1,28.8,12.8
2,1,244,0.535,0.379,0.156,24.2,4.4,11.4,19.8,12.8
2,1,248,0.567,0.424,0.143,25.7,1.3,12.9,24.4,12.8
2,2,313,0.313,0.221,0.092,22.8,0.4,10,22.4,12.8
2,3,375,0.263,0.174,0.089,29.8,4.7,17,25.1,12.8
3,3,542,0.341,0.296,0.045,39.4,10.3,26.6,29.1,12.8
4,3,764,0.155,0.1206,0.0344,30.2,5.2,17.4,25,12.8
7,3,1172,0.491,0.443,0.048,35,15.2,22.2,19.8,12.8
7,3,1177,0.183,0.155,0.028,33.3,9.5,20.4,23.8,12.9
8,3,1350,0.132,0.108,0.024,44.5,10.4,31.6,34.1,12.9
10,1,1499,0.277,0.201,0.076,26.8,9.6,13.9,17.2,12.9
2,3,383,0.274,0.19,0.084,29,1.7,16,27.3,13
9,3,1451,0.359,0.297,0.062,40.8,12.9,27.8,27.9,13
9,3,1452,0.396,0.324,0.072,38.3,14.1,25.3,24.2,13
10,3,1619,0.22,0.172,0.048,25.2,5.6,12.2,19.6,13
12,3,100,0.558,0.437,0.121,26.8,2.1,13.8,24.7,13
2,3,369,0.286,0.199,0.087,30.7,7.3,17.6,23.4,13.1
4,2,694,0.0634,0.039,0.0244,29.6,16.5,16.5,13.1,13.1
9,3,1449,0.325,0.264,0.061,41,13.5,27.9,27.5,13.1
1,3,228,0.1067,0.0752,0.0315,31.2,0.5,18,30.7,13.2
2,3,381,0.28,0.218,0.062,27.5,2.5,14.3,25,13.2
12,1,9,0.353,0.292,0.061,22.9,-4.8,9.7,27.7,13.2
12,3,118,0.332,0.269,0.063,25.3,-4,12.1,29.3,13.2
5,2,960,0.1081,0.0613,0.0468,24.3,3.6,11,20.7,13.3
3,3,546,0.319,0.274,0.045,39.6,13.5,26.2,26.1,13.4
